ID_Publicacion,Año_Publicacion,Titulo_Publicacion,Tipo_Publicacion,Revista_Evento,Indexacion,ID_Investigador,ID_Proyecto
PUB001,2023,Analítica predictiva aplicada a la gestión académica universitaria,Ponencia,Congreso Internacional de Innovación Universitaria,Otra,INV001,PROY003
PUB002,2021,Brechas digitales y acceso equitativo a recursos educativos: desafíos para la gestión universitaria,Artículo,Journal of Educational Data Analytics,WoS,INV001,PROY001
PUB003,2021,Minería de datos para la caracterización del rendimiento académico,Artículo,Higher Education Policy and Management Review,WoS,INV001,PROY008
PUB004,2023,Minería de datos para la caracterización del rendimiento académico,Artículo,International Journal of Higher Education Innovation,Scopus,INV001,PROY001
PUB005,2022,Aprendizaje colaborativo mediado por tecnologías digitales: un estudio de caso institucional,Libro,Editorial Académica Española,Otra,INV001,PROY010
PUB006,2023,Modelos de alerta temprana para la retención estudiantil,Artículo,Journal of Educational Data Analytics,WoS,INV001,PROY005
PUB007,2024,Inteligencia artificial generativa y transformación de la educación superior,Ponencia,Seminario Internacional de Gestión de la Educación Superior,Otra,INV001,PROY002
PUB008,2024,Brechas digitales y acceso equitativo a recursos educativos: aproximaciones metodológicas,Artículo,Journal of Educational Data Analytics,WoS,INV001,PROY002
PUB009,2025,Inteligencia artificial generativa y transformación de la educación superior,Capítulo de Libro,Editorial Universitaria - Estudios en Educación Superior,Otra,INV001,PROY004
PUB010,2024,Visualización de indicadores científicos para la toma de decisiones,Artículo,Higher Education Policy and Management Review,WoS,INV001,PROY009
PUB011,2025,Desarrollo de competencias investigativas en contextos universitarios,Artículo,Revista Latinoamericana de Tecnología Educativa,Scopus,INV001,PROY003
PUB012,2024,Estrategias de innovación docente basadas en evidencia,Capítulo de Libro,Editorial Universitaria - Estudios en Educación Superior,Otra,INV001,PROY010
PUB013,2025,Indicadores bibliométricos para el análisis de producción científica,Artículo,Revista Latinoamericana de Tecnología Educativa,Scopus,INV005,PROY009
PUB014,2025,Factores asociados al bienestar y salud mental estudiantil,Ponencia,Conferencia Latinoamericana de Analítica del Aprendizaje,Otra,INV005,PROY001
PUB015,2021,Factores asociados al bienestar y salud mental estudiantil,Artículo,Revista Iberoamericana de Educación Superior,Scopus,INV005,PROY002
PUB016,2023,Evaluación de políticas de aseguramiento de la calidad universitaria,Ponencia,Seminario Internacional de Gestión de la Educación Superior,Otra,INV005,PROY009
PUB017,2025,Gestión del conocimiento y productividad científica en universidades regionales: aproximaciones metodológicas,Artículo,Revista Latinoamericana de Tecnología Educativa,Scopus,INV005,PROY008
PUB018,2024,Desarrollo de competencias investigativas en contextos universitarios: un estudio de caso institucional,Artículo,International Journal of Higher Education Innovation,Scopus,INV005,PROY006
PUB019,2025,Visualización de indicadores científicos para la toma de decisiones: un estudio de caso institucional,Artículo,Revista Iberoamericana de Educación Superior,Scopus,INV005,PROY005
PUB020,2024,Gobierno de datos y gestión estratégica en instituciones de educación superior,Ponencia,Congreso Internacional de Innovación Universitaria,Otra,INV005,PROY008
PUB021,2024,Visualización de indicadores científicos para la toma de decisiones,Artículo,Revista Iberoamericana de Educación Superior,Scopus,INV005,PROY010
PUB022,2024,Visualización de indicadores científicos para la toma de decisiones: un estudio de caso institucional,Artículo,Revista Chilena de Ingeniería,SciELO,INV005,PROY001
PUB023,2024,Calidad de datos en sistemas de información universitarios,Capítulo de Libro,RIL Editores - Innovación y Gestión Universitaria,Otra,INV005,PROY001
PUB024,2022,Calidad de datos en sistemas de información universitarios,Ponencia,Seminario Internacional de Gestión de la Educación Superior,Otra,INV010,PROY005
PUB025,2024,Brechas digitales y acceso equitativo a recursos educativos,Libro,Editorial Académica Española,Otra,INV010,PROY001
PUB026,2023,Vinculación con el medio y transferencia de conocimiento territorial: aproximaciones metodológicas,Ponencia,Seminario Internacional de Gestión de la Educación Superior,Otra,INV010,PROY003
PUB027,2021,Diseño de dashboards para el monitoreo de proyectos académicos,Artículo,Higher Education Policy and Management Review,WoS,INV010,PROY010
PUB028,2022,Brechas digitales y acceso equitativo a recursos educativos,Ponencia,Congreso Internacional de Innovación Universitaria,Otra,INV010,PROY009
PUB029,2022,Big Data institucional para el seguimiento de trayectorias formativas: desafíos para la gestión universitaria,Ponencia,Latin American Conference on Data Science in Education,Otra,INV010,PROY008
PUB030,2023,Evaluación de políticas de aseguramiento de la calidad universitaria,Libro,Routledge Higher Education Series,Scopus,INV010,PROY009
PUB031,2024,Indicadores bibliométricos para el análisis de producción científica,Capítulo de Libro,RIL Editores - Innovación y Gestión Universitaria,Otra,INV010,PROY002
PUB032,2024,Modelos de alerta temprana para la retención estudiantil: un estudio de caso institucional,Artículo,Higher Education Policy and Management Review,WoS,INV010,PROY003
PUB033,2023,Inteligencia artificial generativa y transformación de la educación superior: evidencia desde universidades regionales,Artículo,Journal of Educational Data Analytics,WoS,INV012,PROY001
PUB034,2022,Gestión del conocimiento y productividad científica en universidades regionales,Ponencia,Conferencia Latinoamericana de Analítica del Aprendizaje,Otra,INV012,PROY008
PUB035,2024,Minería de datos para la caracterización del rendimiento académico,Artículo,Education Sciences and Digital Transformation,WoS,INV012,PROY002
PUB036,2024,Aprendizaje colaborativo mediado por tecnologías digitales,Artículo,Journal of Educational Data Analytics,WoS,INV012,PROY006
PUB037,2021,Visualización de indicadores científicos para la toma de decisiones: aproximaciones metodológicas,Capítulo de Libro,Editorial Universitaria - Estudios en Educación Superior,Otra,INV012,PROY003
PUB038,2024,Brechas digitales y acceso equitativo a recursos educativos,Artículo,Higher Education Policy and Management Review,WoS,INV012,PROY002
PUB039,2021,Minería de datos para la caracterización del rendimiento académico,Artículo,Education Sciences and Digital Transformation,WoS,INV012,PROY005
